Period,Itotal,Ifoods,Iindustrial,Icapital_goods,Ivehicles,Iconsumer_goods,Iother,Etotal,Efoods,Eindustrial,Ecapital_goods,Evehicles,Econsumer_goods,Eother
APR,137129.00,5550.00,41778.00,31796.00,19220.00,33903.00,4882.00,75490.00,4935.00,19723.00,30247.00,8019.00,9436.00,3130.00
MAY,135665.00,5618.00,40019.00,31271.00,19901.00,34136.00,4720.00,75074.00,5233.00,19880.00,29399.00,7919.00,9577.00,3065.00
JUN,137614.00,5696.00,41183.00,32253.00,19512.00,34283.00,4688.00,74950.00,4959.00,19493.00,29877.00,7936.00,9527.00,3158.00
JUL,137423.00,5576.00,42085.00,31689.00,19763.00,33676.00,4634.00,74688.00,4840.00,19529.00,29935.00,8017.00,9529.00,2839.00
AUG,139189.00,5726.00,43766.00,31531.00,20154.00,33467.00,4546.00,76215.00,4880.00,19839.00,30444.00,8218.00,9624.00,3209.00
SEP,143958.00,5923.00,46945.00,32172.00,20121.00,34009.00,4788.00,74228.00,4798.00,19001.00,28959.00,8459.00,9849.00,3162.00
OCT,148676.00,5776.00,50706.00,32305.00,20852.00,34305.00,4730.00,76236.00,5047.00,19222.00,30659.00,8549.00,9517.00,3242.00
NOV,146650.00,5922.00,49371.00,32285.00,20678.00,33640.00,4753.00,77744.00,4934.00,19560.00,31437.00,8661.00,9944.00,3208.00
DEC,149264.00,6033.00,49444.00,33213.00,21318.00,34694.00,4561.00,79809.00,5000.00,20230.00,31939.00,8884.00,10383.00,3373.00
2004,1469704.00,62143.00,412772.00,343582.00,228163.00,372938.00,50106.00,814875.00,56570.00,203910.00,327540.00,89213.00,103238.00,34404.00
JAN,110890.00,4812.00,28796.00,26802.00,17739.00,28799.00,3942.00,62693.00,4614.00,15286.00,25605.00,6681.00,7774.00,2732.00
FEB,113977.00,5026.00,30671.00,26652.00,18514.00,28974.00,4141.00,65852.00,4796.00,15980.00,27125.00,7015.00,8078.00,2857.00
