  Period,Btotal,Bgoods,Bservices,Etotal,Egoods,Eservices,Itotal,Igoods,Iservices,
JUN,-25832,-36394,10562,128704,86927,41776,154535,123321,31214,
JUL,-32417,-42439,10022,130454,88657,41798,162872,131096,31776,
AUG,-30990,-41488,10498,130992,88781,42211,161982,130269,31713,
SEP,-34038,-44929,10891,135623,92668,42955,169661,137597,32065,
OCT,-33569,-44977,11408,139683,95857,43826,173252,140834,32418,
NOV,-37043,-48789,11746,140579,96197,44382,177622,144986,32636,
DEC,-37923,-49535,11612,144066,99631,44435,181989,149166,32823,
2010,-494737,-645124,150387,1842485,1288882,553603,2337222,1934006,403216, 
JAN,-37078,-48855,11777,143735,99354,44381,180813,148209,32604,
FEB,-40679,-51654,10975,144639,100417,44222,185319,152072,33247,
MAR,-40194,-52028,11835,148960,104260,44699,189153,156289,32865,
APR,-41418,-53274,11856,147605,103403,44202,189023,156677,32346,
MAY,-40586,-53208,12622,152195,106463,45731,192781,159672,33109,
JUN,-45682,-58158,12476,151863,105612,46251,197546,163770,33776,
JUL,-40418,-52888,12469,154711,108186,46525,195129,161074,34055,
AUG,-45112,-57536,12425,154941,108386,46555,200053,165923,34130,
SEP,-43606,-56446,12841,155816,108625,47191,199422,165072,34350,
OCT,-40425,-53636,13211,160332,112715,47617,200757,166351,34405,
NOV,-38860,-52703,13843,162190,114139,48051,201050,166841,34209,
DEC,-40677,-54736,14059,165499,117321,48177,206176,172057,34119,
2011,-559880,-738413,178533,2103367,1497406,605961,2663247,2235819,427428,
JAN ,-47523,-61946,14422,168098,119050,49048,215621,180995,34626,
FEB ,-44801,-59361,14560,166545,117651,48894,211346,177012,34334,
MAR ,-44902,-60051,15149,174169,124217,49952,219071,184268,34803,
APR ,-43556,-58557,15001,175662,125586,50076,219218,184143,35075,
MAY ,-47669,-63038,15369,175673,124910,50763,223343,187948,35394,
JUN ,-50324,-65588,15264,172664,121664,51000,222988,187253,35736,
JUL ,-45580,-60889,15309,178339,126585,51754,223919,187474,36445,
AUG ,-44775,-60205,15431,178382,126523,51859,223157,186728,36429,
SEP,-44467,-59522,15056,180629,129053,51576,225096,188575,36521,
OCT ,-45703,-60526,14823,178742,127920,50822,224445,188446,35999,
NOV ,-48835,-63293,14458,176710,126385,50325,225545,189678,35867,
DEC ,-51748,-65436,13688,177751,127862,49890,229499,193297,36202,
2012,-539514,-735313,195799,2194491,1564104,630387,2734005,2299417,434589,
JAN,-52288,-66912,14625,178619,127757,50862,230907,194670,36237,
FEB,-44586,-60101,15515,180166,128217,51948,224751,188318,36433,
MAR,-51726,-67551,15824,184685,131964,52721,236412,199515,36897,
APR,-49726,-65332,15606,182468,130362,52106,232194,195693,36501,
MAY,-47009,-63205,16195,183109,130576,52533,230118,193780,36338,
JUN,-40921,-57466,16545,185550,132592,52958,226471,190058,36413,
JUL,-41944,-57848,15904,182689,130481,52208,224634,188329,36305,
AUG,-42552,-58951,16399,181117,128527,52589,223668,187478,36190,
SEP,-40345,-57354,17010,186653,133782,52872,226998,191136,35862,
OCT,-42046,-59025,16979,180279,127610,52669,222325,186635,35690,
NOV,-48228,-65495,17267,182526,129418,53108,230753,194912,35841,
DEC,-38144,-56073,17930,186630,132818,53813,224774,188891,35883,
2013,none,none,none,none,none,none,none,none,none,
JAN (R),-44460,-61700,17240,184401,130848,53553,228862,192549,36313,
FEB,-42960,-60222,17261,185963,132187,53776,228923,192409,36514,
MAR,none,none,none,none,132187,none,none,none,none,
APR,none,none,none,none,none,none,none,none,none,
MAY,none,none,none,none,none,none,none,none,none,
JUN,none,none,none,none,none,none,none,none,none,
JUL,none,none,none,none,none,none,none,none,none,
AUG,none,none,none,none,none,none,none,none,none,
SEP,none,none,none,none,none,none,none,none,none,
OCT,none,none,none,none,none,none,none,none,none,
NOV,none,none,none,none,none,none,none,none,none,
DEC,none,none,none,none,none,none,none,none,none,
